CDS	UTR	IGR	Intron	ncRNA	HSRE
0.423003	1.511602649	1.046389797	1.113341605	1.048938744	0.690104511
0	0	0.317924	0	0	0
0.423003	0	0.317924	0.576979	0.839457	0.212983257
0	0	0	0	0.279819	0
0	0.463985	0.317924	0.144245	0.279819	0.514013252
0	0.463985	0.476885	0.865469	0.839457	0.911953261
0	0	0.158962	0.144245	0	0.212983257
0	0	0	0	0	0
0.423003	0	0	0	0	0.212983257
0	0.927971	0.158962	0.432734	0	0
1.228402925	0.463985	0.317924	0.865469	0	0.514013252
0.423003	0.463985	0	0	0.279819	0
0	0	0	0	0	0
0	0	0.794809	0	0	0.514013252
0.846006	0.927971	0.794809	0.432734	0.559638	0.514013252
0	0	0.158962	0.432734	0.279819	0
0.423003	0	0.317924	0	0.559638	0.815043248
0	0.463985	0.158962	0.28849	0	0
0	0	0	0	0	0
0.423003	0.927971	1.046389797	0.28849	0.279819	1.116073244
0.846006	0.463985	0.635847	0.432734	0.559638	0.514013252
0	0	0.317924	0.144245	0	0
0	0	0	0.144245	0	0
0	0	0.476885	0.28849	0	0
0	0	0	0	0	0.212983257
0.423003	0	0.476885	0.144245	0	0.212983257
0	0	0.476885	0.576979	0.559638	0.690104511
0.423003	0.927971	0.317924	0	0	0
0	1.143626755	1.104381256	1.305228804	0.839457	1.167225766
0	0	0	0	0	0
0.423003	0	0.476885	0.144245	0	0
0.423003	0	0.158962	0.28849	0	0.514013252
0	0.463985	0.317924	0.576979	0.279819	0
0	0.927971	0.476885	1.004196657	0.559638	0.911953261
0	0	0	0.144245	0	0.212983257
0	0	0.158962	0	0	0
0	0	0.158962	0	0	0
0	0	0	0	0	0
0	0	0	0.144245	0	0
0	1.143626755	1.155536435	1.159100768	1.145845652	0.815043248
0	0.927971	0.317924	0.144245	0.559638	0.690104511
0	0	0	0.28849	0	0
0.423003	0.463985	0.158962	0.28849	0	0.212983257
0	0	0	0.144245	0.559638	0
0	0	0.158962	0.144245	0	0
1.103465044	0.463985	1.456564913	1.200492085	1.526058705	1.058081297
0	0	0	0	0	0
0	0	0.317924	0.28849	0	0
0.423003	0	0	0.144245	0.279819	0.212983257
0.846006	0	0	0.28849	0.559638	0
0	0	0.476885	0.28849	0	0.514013252
0	0	0	0	0	0
0.423003	0	0.953771	0	0	0.514013252
0.423003	0.463985	0.476885	0.721224	0	0.212983257
0	0	0	0.28849	0	0
0.423003	0.463985	0.158962	0.144245	0	0.212983257
0.846006	0	0.476885	0.28849	0	0.690104511
0	0	0	0	0	0
0	0.463985	0.794809	0	0.559638	0.212983257
0.846006	0.927971	0.953771	0.432734	0	0.815043248
0.423003	0	0.794809	0	0.279819	0
0	0	0	0	0	0
0	0	0.317924	0.432734	0.279819	0.212983257
1.103465044	0.927971	0.953771	1.062190755	1.048938744	0.514013252
0.423003	0	0.635847	0.144245	0.279819	0
0	0	0.158962	0.28849	0.279819	0.212983257
0	0	0	0	0	0
0	0.463985	0	0.144245	0	0
0	0	0	0	0	0
0.846006	0	0	0	0	0
0	0.463985	0.476885	0.28849	0.279819	0
0.423003	0.927971	0.794809	0.28849	1.225027416	0.815043248
0.423003	0.463985	0.158962	0.28849	0.559638	0.514013252
0	0	0	0	0	0
0	0	0.158962	0.28849	0	0
0	0	0.158962	0	0	0.212983257
0.423003	0	0.794809	0.28849	0.279819	0.690104511
0	0	0	0.28849	0	0
0.423003	0	0.317924	0	0	0.212983257
0	0.463985	1.046389797	0.721224	0.279819	0.815043248
0	0	0.158962	0	0	0
0	0.927971	0.476885	0.28849	0	0.514013252
0.423003	0.463985	1.046389797	0.721224	0.839457	0.514013252
0	0	0.317924	0.28849	0	0.212983257
0	0	0	0	0	0
0.423003	0	0	0	0.279819	0.514013252
1.103465044	0.463985	1.242685507	1.159100768	0	0.690104511
0	0	0	0	0	0
1.40449504	1.143626755	1.046389797	1.437853577	1.145845652	1.167225766
0.423003	0.463985	0.953771	1.200492085	1.145845652	0.911953261
0	0.927971	0.317924	0.28849	0	0.514013252
0	0	0.635847	0.576979	0	0.514013252
0	0	0	0.144245	0	0
0.423003	0	0.317924	0.432734	0	0
0	0	0	0.28849	0	0.212983257
0	0	0.476885	0.432734	0.559638	0.514013252
0	0	0	0	0.279819	0.690104511
0.423003	0	0	0.576979	0	0
0	0	0.158962	0	0	0
0	0	0	0.144245	0	0.815043248
0	0	0.158962	0.144245	0	0.514013252
0.423003	0	0.635847	0.28849	0.279819	0.690104511
0	0	0.317924	0.576979	0.279819	0.212983257
0.423003	0.463985	1.456564913	1.363220751	1.048938744	1.167225766
1.103465044	0	0.635847	0.432734	0.839457	0.212983257
0	0	0.158962	0.865469	0	0.212983257
0.846006	0.463985	0.794809	0.144245	0.279819	0.514013252
0	0.463985	0.317924	0.865469	0.559638	0.212983257
0	0.463985	0	0.144245	0	0.514013252
1.103465044	0.463985	1.046389797	0.28849	0.559638	0.212983257
0	0	0	0.432734	0	0.212983257
0	0.463985	0	0.432734	0.279819	0.212983257
0.423003	0	0.476885	1.062190755	0.839457	0.212983257
0.423003	0.463985	0.317924	0.432734	0.279819	0.212983257
0.846006	0	0	0	0	0.690104511
0.423003	0	0	0.576979	0.279819	0.514013252
0.846006	1.143626755	0.953771	1.200492085	1.349966799	0.815043248
0.423003	0	0.158962	0.28849	0	0.212983257
0.423003	0	0.635847	0.28849	0	0.212983257
0	0	0.158962	0.576979	0	0
0.423003	0.927971	0.317924	0.144245	0.559638	0.212983257
0	0	0	0	0	0
0	0	0.158962	0.28849	0.279819	0.911953261
0	1.143626755	0.476885	0.865469	0.279819	0.514013252
0	0	0	0	0	0
0	0	0.635847	0.432734	0	0.212983257
0	0	0	0.144245	0	0
0	0.463985	0.158962	0.144245	0	0
0	0	0	0	0	0
0	0	0.317924	0.432734	0	0.212983257
1.103465044	0	0	0.28849	0.279819	0.212983257
0	0	0	0.432734	0	0
0.423003	0	0	0.28849	0	0.514013252
0	0	0	0.144245	0	0
0	0	0.158962	0.28849	0	0.212983257
0.423003	0	0	0.28849	0	0
0	0	0	0	0	0.212983257
0.423003	0	0.953771	0.721224	0.279819	0.514013252
0.846006	0	0.317924	0.721224	0.839457	0.690104511
0	0.463985	0.158962	0	0	0
0	0.463985	0	0	0	0.212983257
1.325312425	0.927971	1.242685507	0.576979	1.225027416	1.116073244
0	0	0.317924	0	0	0.212983257
0.423003	0	0.317924	0.144245	0.279819	0.212983257
0.423003	1.143626755	1.155536435	1.062190755	0.839457	0.815043248
0	0	0.158962	0.144245	0	0
0	0.463985	0.317924	0.432734	0	0.690104511
0	0.463985	0.317924	0.28849	0	0
0.846006	0.463985	1.046389797	1.062190755	1.145845652	0.911953261
0.423003	0	0.158962	0.432734	0.279819	0.514013252
0	0.463985	0.317924	0.865469	0.279819	0.212983257
0.846006	0.463985	0.158962	0.144245	0.559638	0.514013252
0	0.463985	0.476885	0.144245	0.279819	0.212983257
0.846006	0	0.794809	0.721224	0.839457	0.815043248
0.846006	0.463985	1.31523541	1.200492085	1.225027416	0.991134507
0	0.463985	0.158962	0.28849	0.279819	0
0	0	0.317924	0	0	0
0	0	0	0.144245	0	0
0	0.463985	0.476885	0.28849	0	0.212983257
0	0	0.635847	0.28849	0	0.514013252
0.846006	0	0	0	0	0
0.846006	0.927971	0.476885	0.865469	0.839457	0.815043248
0	0	0	0	0	0
0	0	0.158962	0.28849	0.279819	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0.158962	0.144245	0	0.212983257
1.40449504	0.927971	1.347421744	1.200492085	0	0.690104511
0.423003	0.927971	1.155536435	1.159100768	1.145845652	0.690104511
0	0	0.158962	0	0	0
0	0	0.317924	0	0	0.212983257
0.423003	0.463985	0.953771	0.432734	0.559638	0.514013252
0	0	0.158962	0.28849	0	0.212983257
0	0	0	0	0.279819	0.514013252
0	0	0	0.28849	0	0.212983257
0	0.927971	0.794809	0.28849	0.559638	0.514013252
0	0	0.158962	0.576979	0	0
0	0	0	0.432734	0	0.212983257
0.423003	0	0.317924	0.576979	0.839457	0.815043248
0.846006	0	0.476885	0.28849	0.279819	0.212983257
0	0.463985	0.317924	0.576979	0.279819	0.911953261
0.423003	0.927971	1.046389797	1.062190755	0	0.514013252
0	0	0	0.144245	0	0.514013252
0	0	0.158962	0.721224	0.279819	0.815043248
0.423003	0	0.158962	0.28849	0.279819	0.514013252
0.846006	0	0.635847	0	0	0.911953261
0.423003	0	0.635847	0.144245	0	0
0.423003	0	0	0	0	0.212983257
0	0	0	0.576979	0	0
0.423003	0.463985	0.953771	1.004196657	0.279819	0
0	0	0	0	0	0
0	0.463985	0	0	0	0
0	0	0	0.28849	0.279819	0.514013252
0.423003	0	0.158962	0.28849	0.279819	0
0	0.463985	0.158962	0.576979	0.279819	0.514013252
0.846006	0	0.317924	0	0	0.212983257
0	0	0	0.28849	0	0.212983257
1.103465044	0.927971	1.155536435	1.113341605	0.839457	0.690104511
0.423003	0	0.158962	0.721224	0	0
0	0	0	0.144245	0	0.690104511
0	0	0.158962	0	0	0
0.423003	0	0	0	0	0.514013252
0.423003	0	1.242685507	0.865469	0.559638	0.690104511
0	0.463985	0.794809	0.432734	0	0.911953261
0.846006	0	0	0.144245	0.559638	0.212983257
0.423003	0	0.476885	0	0	0
0.846006	0	0.158962	0.144245	0	0.212983257
0.423003	0	0.158962	0.576979	0.279819	0.212983257
0	0	0.158962	0	0	0
0.423003	0	0.317924	0.28849	0.279819	0.514013252
0	0	0	0	0	0
0.423003	0.463985	0.476885	0.144245	0	0
0.423003	0.463985	0	0.28849	0.279819	0.212983257
0.423003	0	0.158962	0.144245	0	0.212983257
0.423003	0.927971	0.476885	1.004196657	1.048938744	0.690104511
0	1.143626755	0.158962	0.28849	0.279819	0
0.423003	0	0	0.28849	0	0.212983257
0	0.927971	0.317924	0	0.279819	0
0.423003	0	0	0.144245	0	0
0	0	0	0	0	0
0	0	1.046389797	0.576979	0	0.212983257
0.846006	0	0.317924	0.28849	0.279819	0.514013252
0	1.143626755	0.635847	1.062190755	0.279819	0.690104511
0.423003	0.463985	0.476885	1.335191023	0.279819	0.690104511
0	0	0	0	0	0
0	0	0.635847	1.159100768	0	0.514013252
0	0	0	0	0	0
0.423003	0.463985	0.158962	0.432734	0	0
0	0	0	0.432734	0	0.212983257
0	0	0.158962	0.144245	0	0.212983257
0	0	0.317924	0.432734	0.559638	0
0.423003	0.927971	0	0	0.279819	0.690104511
0.423003	0	0.158962	0.144245	0	0.514013252
0	0	0	0.144245	0.559638	0.212983257
0	0	0	0	0	0
0.846006	0	0.158962	0.432734	0.559638	0.514013252
0.423003	1.143626755	0.794809	0.576979	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0.158962	1.004196657	0.279819	0
0.846006	0	0.158962	0	0	0.212983257
0	0.463985	1.104381256	0.721224	0	0.514013252
0	0	0.158962	0.144245	0	0
0	0	0	0	0	0
0	0	0.476885	0.432734	0.279819	0
1.103465044	0.927971	0.794809	1.200492085	0.839457	0.690104511
0	0	0.317924	0.432734	0	0.212983257
0	0.463985	1.201293318	1.004196657	1.048938744	0.991134507
0	0.463985	0.158962	0.144245	0.279819	0.212983257
0.423003	0.463985	0.635847	0.144245	0.279819	0
0	0	0.317924	0	0	0.212983257
0	0	0	0	0.279819	0.212983257
0.846006	0	0.158962	0.144245	0	0
0	0	0.317924	0.432734	0	0
0.423003	0.927971	0.794809	0.576979	0	0.514013252
0	0.463985	0.158962	0	0.279819	0.212983257
0	0.463985	0.317924	0.432734	0	0.212983257
0	0	0.317924	0.432734	0	0.212983257
0	0.463985	0.317924	0	0.279819	0.212983257
0	0.463985	0.317924	0.144245	0	0
0	0.463985	0.635847	0.28849	0	0.212983257
0	0.463985	0.476885	0.28849	0.279819	0.514013252
0	0	0.317924	0.432734	0	0.212983257
0	0	0.158962	0	0.559638	0
0.423003	0	0.317924	0.721224	0	0
0	0.463985	0.158962	0.576979	0	0.514013252
0	0.463985	0.158962	0.144245	0	0
0.423003	0.463985	0	0.144245	0	0.212983257
0	0	0	0.144245	0.279819	0
0	0	0.635847	0.432734	0.279819	0.514013252
0	0.463985	0.158962	0.432734	0.279819	0
0	0	1.201293318	0.721224	0	0.212983257
0	0	0	0	0	0
0	1.365474881	0.794809	1.062190755	0.559638	0.514013252
1.325312425	0.463985	0.317924	0.28849	0	0.212983257
0	0.463985	0.317924	0.144245	0	0
0	0	0.158962	0.144245	0	0.690104511
0.846006	0.463985	0.317924	0.28849	0.279819	0.514013252
0	0	0.317924	0.144245	0.559638	0.690104511
0.846006	0.463985	0.794809	1.159100768	0.559638	0.815043248
0	0.463985	0.158962	0.28849	0	0
0	0	0.158962	0	0	0
0	0	0	0	0	0
0.423003	0	0	0	0	0
0	0	0.158962	0	0	0
0	0	0.317924	0.865469	0	0.514013252
0.423003	0	0.635847	0	0	0.690104511
0.423003	0	0	0	0	0
0.846006	0.927971	0.158962	0.144245	0	0.815043248
0	0.463985	0.476885	0.28849	0	0.514013252
0	0.463985	0	0.432734	0	0
0	0.927971	0.158962	0.576979	0.559638	0.514013252
0	0.463985	0.476885	0.144245	0	0
0.423003	0	0.158962	0	0	0
0	0	0.953771	0.432734	1.048938744	0
0	0	0.317924	0.144245	0	0.514013252
0.423003	0	0.158962	0.865469	0	0.514013252
0.846006	0.927971	0.476885	0.865469	0.839457	0.514013252
1.103465044	0	0.317924	0	0	0.514013252
0	0	0.317924	0.28849	0	0
0.423003	0	0	0.28849	0	0
0	0	0.635847	0.28849	0	0
0	0	0	0	0.279819	0.212983257
0	0	0	0.144245	0	0.212983257
0	0	0	0	0	0
1.103465044	1.268563932	1.377384577	1.238282014	1.225027416	1.116073244
0	0	0.317924	0.144245	0.279819	0.212983257
0	0	0	0	0	0
0	0.463985	0	0	0	0.212983257
0	0	0	0.144245	0	0.212983257
0	0	0	0.28849	0.279819	0.212983257
0.846006	1.444655191	1.201293318	1.062190755	1.145845652	0.815043248
0	0	0.158962	0.28849	0	0.690104511
0.423003	0.463985	0.317924	0.576979	0.559638	0.212983257
0	0	0	0.144245	0	0
0	0	0.476885	0.576979	0	0.514013252
0	0	0.158962	0	0	0.212983257
0	0.463985	0.158962	0.144245	0	0.514013252
0.423003	0.463985	0	0	0.279819	0
0	0	0	0.144245	0	0
0	0	0	0	0	0
0.423003	0.463985	0	0	0	0
0	0	0.158962	0	0	0
0	0	0	0	0	0
0	0.463985	0.317924	0	0	0.690104511
0	0	0	0.144245	0	0
0	0.463985	0.476885	0.28849	0	0
0	0	0.158962	0	0.559638	0.212983257
0	0	0	0	0	0.514013252
0.423003	0.463985	0.158962	0	0	0.212983257
0	0.463985	0.635847	0.144245	0	0.815043248
0	0.463985	0.476885	0.721224	0.279819	0.212983257
0.423003	0.463985	0	0.144245	0	0
0	0	0.158962	0	0	0
0	0	0	0.144245	0	0
0.423003	0	0.158962	0	0	0
0	0.463985	0.635847	0.28849	0.559638	0.690104511
0	0	1.104381256	0.432734	0.839457	0.815043248
0	0	0	0	0	0.212983257
0	0	0	0.576979	0	0.514013252
0	0	0.158962	0.144245	0	0
0	0	0	0	0	0
0.423003	0	0.476885	0.144245	0	0.212983257
0.423003	0.927971	0.317924	0.865469	0.559638	0.991134507
0	0	0.158962	0	0	0
0	0	0	0	0	0
0	0.463985	0.317924	0.28849	0.279819	0.514013252
0	0	0.158962	0	0	0.690104511
0	0	0.158962	0.432734	0.279819	0.212983257
0.423003	0	0.317924	0	0	0
0	0.463985	0	0	0.279819	0
0.846006	0.927971	0.317924	0.432734	0	0.212983257
0.423003	0.927971	0.158962	0	0	0
0	0.463985	0.158962	0.28849	0.279819	0.690104511
0.846006	0	0.158962	0	0	0.212983257
0	0	0.158962	0.144245	0	0.514013252
0	0	0	0	0	0.212983257
0	0	0.158962	0.144245	0.279819	0.212983257
0	0	0	0	0	0
0	0.463985	0	0	0.559638	0.212983257
0	0	0.158962	0.144245	0	0.212983257
0	0	0.158962	0.144245	0	0
0	0	0.317924	0	0	0
0	0.463985	0	0	0	0
0	0	0	0	0	0.212983257
0	0	0.158962	0	0	0.212983257
0	0	0.158962	0	0	0
0	0	0	0.144245	0	0.212983257
0	0.463985	0	0.144245	0	0
0	0	0	0	0	0
0	0	0.158962	0.432734	0.279819	0.514013252
0	0	0	0.28849	0	0.212983257
0	0	0.476885	0	0	0
0	0	0.476885	0.28849	0	0
0	0	0	0	0	0
0	0	0	0.28849	0	0.212983257
0	0	0	0	0	0
0	0	0	0.144245	0	0
0	0	0.158962	0	0	0
0	0	0.158962	0	0	0
0	0	0.158962	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0.158962	0.144245	0	0.212983257
0	0	0.158962	0.144245	0	0
0	0	0	0	0	0
0	0	0	0	0.279819	0.212983257
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0.158962	0	0	0
0	0	0	0	0	0
0	0	0.158962	0.28849	0	0
0	0	0.476885	0.144245	0	0.514013252
0	0	0.158962	0.28849	0	0.212983257
0	0	0	0	0	0
0.423003	0.463985	0.317924	0.28849	0.279819	0.514013252
0	0.463985	0.794809	0.144245	0.279819	0.690104511
0	0	0.635847	0.144245	0	0
0	0.463985	0.317924	0	0.279819	0
0.423003	0	0.635847	0.28849	0.559638	0.212983257
0	0	0	0	0	0
0.423003	0	0	0.144245	0	0
0.423003	0	0.317924	0	0	0
0	0	0	0	0	0.212983257
0.423003	0	0	0.144245	0.279819	0.212983257
0	0.463985	0.635847	0.432734	0	0.690104511
0	0	0	0	0	0
0	0	0.158962	0	0.279819	0.690104511
0	0	0	0	0	0
0	0	0.317924	0	0.559638	0.514013252
0	0	0.158962	0	0	0
0	0.463985	0.158962	0.144245	0.279819	0
0.423003	0.463985	0.158962	0.144245	0.279819	0.212983257
0	0	0.476885	0.28849	0	0
0	0	0	0.28849	0.279819	0.212983257
0	0	0	0.144245	0	0
1.70552418	1.511602649	1.599232234	1.782349342	1.593004571	1.167225766
0	0	0	0.144245	0	0.212983257
0	0	0.317924	0.144245	0	0.212983257
0.423003	0	0	0	0	0.212983257
0.423003	0	0	0.28849	0.279819	0
0	0.927971	0.794809	1.200492085	0	0.514013252
0	0.463985	0.158962	0.144245	0	0
0.423003	0	0	0	0	0
0	0	0	0.144245	0	0
0.423003	0.463985	0.476885	0.721224	0.279819	0.991134507
0	0	0	0	0	0.514013252
0.423003	0	0.158962	0	0	0
0.423003	0	0.476885	0.576979	1.225027416	0.911953261
0.423003	0	1.046389797	0.865469	0.559638	0.911953261
0	0.463985	0.794809	1.004196657	0.559638	0.514013252
0.423003	0	0	0	0.279819	0
0.423003	0.463985	1.046389797	0.721224	0.839457	0.514013252
1.325312425	1.365474881	1.632656678	1.650461976	1.401119537	1.535202551
0	0	0.317924	0.28849	0	0
0.423003	0.463985	0.317924	0.144245	0	0
0.423003	0	0.476885	0.432734	0	0.514013252
0	0	0.317924	0.721224	0	0.911953261
0	0.463985	0.317924	1.113341605	0	0.690104511
0	0.463985	0	0.144245	0	0
0	0	0.635847	0.432734	0	0
0	0.927971	0.635847	0.144245	0	0.514013252
0	0.927971	0.158962	0.432734	0	0
0.423003	0	0	0	0	0
0	0	0.317924	0.144245	0	0
0	0	0.953771	0.144245	0.559638	0
1.228402925	0	1.155536435	0.865469	0.279819	0.815043248
0	0	0.635847	0.432734	0.279819	0
0	0.463985	0.317924	0.28849	0	0
0	0	0.635847	0.432734	0.559638	0.514013252
0.423003	0.463985	0.317924	0.432734	0.279819	0
0	0.463985	0.158962	0.28849	0	0
0	0.463985	0.476885	1.004196657	0.279819	0.690104511
0.423003	0	0	0.576979	0	0
0	0.463985	0	1.004196657	0.279819	0.212983257
0	0	0.317924	0.144245	0	0.815043248
0	0	0.476885	0	0	0.911953261
0	0	0.158962	0	0	0
0	0	0	0	0	0.514013252
0	0.463985	0.317924	0.28849	0	0
0	0	0	0	0	0.212983257
0.423003	0	0.158962	0	0	0
0	0	0	0	0	0.514013252
0	0	0.158962	0	0	0
0	0	0.158962	0	0	0
0	0	0	0.144245	0	0.212983257
0	0	0	0.144245	0	0
0.423003	0.463985	0	0.721224	0	0
0	0	0.317924	0.144245	0	0.212983257
0.846006	0.927971	0	0.28849	0.279819	0.212983257
0	0	0	0	0	0.212983257
0.423003	0.927971	0.635847	0.28849	1.048938744	0.212983257
0	0	0.158962	0.144245	0	0
0	0	0	0.144245	0	0.212983257
0	0	0	0.432734	0	0
0	0	0.317924	0.144245	0.839457	0.514013252
0.423003	0	0.317924	0.144245	0.279819	0
0	0	0.794809	0.144245	0.279819	0.514013252
0	0	0	0.144245	0	0.212983257
0	0	0	0.144245	0	0
1.103465044	1.143626755	1.242685507	1.004196657	0.559638	0.690104511
0.846006	0.463985	0.317924	0.432734	0	0.815043248
0	0	0.317924	0.144245	0.279819	0.212983257
0	0	0.317924	0.144245	0	0
0	0.463985	0	0.144245	0.279819	0
0.846006	1.143626755	1.155536435	1.363220751	1.048938744	0.514013252
0.423003	0	0	0.144245	0	0
0	0	0	0	0	0
0	0	0.317924	0	0	0
0.423003	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0.463985	0	0	0	0
0.423003	0.463985	0.476885	0.28849	0.559638	0.514013252
0	0	0.158962	0.432734	0.279819	0.212983257
0	0	0	0.144245	0	0.212983257
0.423003	0	0.635847	0.28849	0.279819	0.690104511
0	0	0.317924	0	0	0
0	0	0.317924	0	0.279819	0.212983257
0	0	0.158962	0.28849	0.559638	0
0.423003	0	0	0.144245	0	0.514013252
0.423003	0.463985	0.158962	0	0.559638	0.212983257
0	0	0.317924	0.28849	0	0
0	0	0	0.144245	0	0
0	0	0	0	0.279819	0
0.423003	0	0.158962	0	0	0
0	0	0.158962	0	0	0.212983257
0	0.463985	0	0.144245	0	0
0	0.463985	1.104381256	0.432734	0.279819	0.212983257
0.423003	0.463985	0.476885	0.28849	0.279819	0.690104511
0	0	0.317924	0.576979	0.279819	0.212983257
0	0	0	0	0	0
0.846006	0	0.158962	0.144245	0	0
0.846006	0.463985	0	0.576979	0.279819	0
0	0	0	0	0	0
0	0	0	0	0	0
0.423003	0	0	0	0	0
0.846006	0	0.158962	0.28849	0	0
0	0	0	0	0	0
0.423003	0	0.635847	0.865469	0.279819	0.514013252
0	0	0.158962	0	0	0.212983257
0	0	0	0	0	0
0.423003	0	0	0	0	0
0	0	0	0	0	0
0	0	0.158962	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0.144245	0	0
0.423003	0	0.317924	0	0	0.514013252
0	0.463985	0	0.144245	0	0
0	0	0	0	0	0
0	0	0	0.28849	0	0
0	0	0	0	0	0.212983257
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0.158962	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0.212983257
0	0	0	0	0	0
0	0	0.635847	0.144245	0	0
0	0	0.158962	0.144245	0	0
0	0	0.158962	0.28849	0.279819	0.514013252
0.423003	0.463985	0.158962	0	0.559638	0.212983257
0.846006	0.463985	0.158962	0.28849	0	0.514013252
0.423003	0	0.317924	0.576979	0	0.690104511
0	0.463985	0.476885	0.576979	0.279819	0.212983257
0.423003	0	0	0	0.279819	0.514013252
0	0	0.158962	0.432734	0.279819	0
0	0.927971	0.476885	0.144245	0.279819	0.514013252
0	0.463985	0.317924	0.28849	0	0.690104511
0	0	0	0	0	0
0.423003	1.268563932	0.635847	0.865469	1.145845652	0.690104511
0	0	0.158962	0	0.279819	0.514013252
0	0	0.158962	0	0	0.212983257
0.423003	0.463985	0.158962	0.432734	0.279819	0.212983257
0.423003	1.143626755	1.046389797	1.113341605	0.839457	1.292164503
0	0.463985	0.794809	0.576979	0	0.690104511
0.423003	0	1.104381256	1.062190755	0.839457	0.514013252
0	0.463985	0	0	0	0
0	0	0	0	0	0
0	0	0.158962	0	0	0.212983257
0.423003	0	0.317924	0.576979	0.279819	0.815043248
0	0.463985	0.635847	0.432734	0.279819	0.212983257
0	0	0.158962	0.432734	0.279819	0.212983257
0	0	0	0.144245	0	0.212983257
0	0.463985	0.476885	0.144245	0	0.514013252
0	0	0.953771	0.28849	0.559638	0.212983257
0	0	0	0	0	0.514013252
0	0	0	0.576979	0	0
0.423003	0.463985	0.317924	0.432734	0.559638	0.514013252
0.423003	0	0.476885	0.865469	0.839457	0.212983257
0	0	0	0.144245	0	0
